City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust-nera,64.5667,143.2,9.84,81,50,2.13,RU,1712014970
84,chui,-33.6971,-53.4616,60.55,89,100,11.56,UY,1712014256
85,chonchi,-42.6128,-73.8092,54.61,88,75,1.88,CL,1712014299
86,necochea,-38.5473,-58.7368,53.8,77,10,9.24,AR,1712014844
87,dudinka,69.4058,86.1778,4.68,90,100,14.0,RU,1712014229
88,cill airne,52.05,-9.5167,45.46,89,91,2.82,IE,1712014971
89,hawaiian paradise park,19.5933,-154.9731,78.31,82,100,12.66,US,1712014387
90,mulanje,-16.0316,35.5,66.47,97,45,3.47,MW,1712014972
91,bassar,9.25,0.7833,81.97,61,98,3.83,TG,1712014973
92,ghat,24.9647,10.1728,77.29,10,1,3.91,LY,1712014973
93,ambon,-3.6954,128.1814,77.14,100,20,2.3,ID,1712014973
94,kingston,17.997,-76.7936,83.35,81,40,24.16,JM,1712014460
95,blackmans bay,-43.0167,147.3167,59.74,95,100,4.05,AU,1712014420
96,sinop,41.7711,34.8709,60.62,49,5,8.14,TR,1712014420
97,muynoq,43.7683,59.0214,47.84,68,4,8.9,UZ,1712014975
98,bethel,41.3712,-73.414,51.44,62,100,3.0,US,1712014376
99,hermanus,-34.4187,19.2345,60.8,87,84,12.82,ZA,1712014107
100,weil der stadt,48.75,8.8667,45.86,80,79,11.54,DE,1712014977
101,sitka,57.0531,-135.33,46.29,57,100,18.41,US,1712014391
102,nizhneangarsk,55.7833,109.55,17.01,95,99,1.99,RU,1712014978
103,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,81,0,15.01,RU,1712014978
104,haiku-pauwela,20.9219,-156.3051,80.62,73,40,23.02,US,1712014979
105,sidney,-33.8679,151.2073,76.55,74,89,10.36,AU,1712014961
106,cockburn town,21.4612,-71.1419,76.24,67,1,18.66,TC,1712014433
107,klyuchi,52.2667,79.1667,37.29,78,100,8.61,RU,1712014712
108,colonia,50.9333,6.95,49.96,84,0,9.22,DE,1712014409
109,invercargill,-46.4,168.35,61.02,71,7,3.0,NZ,1712014215
110,acarau,-2.8856,-40.12,79.57,84,78,5.97,BR,1712014873
111,mount gambier,-37.8333,140.7667,59.22,83,64,14.07,AU,1712014247
112,stanley,54.868,-1.6985,37.78,97,20,2.3,GB,1712014736
113,fonte boa,-2.4959,-66.2662,74.28,99,100,2.06,BR,1712014983
114,jindabyne,-36.4167,148.6333,61.57,61,89,20.0,AU,1712014983
115,san clemente del tuyu,-36.3569,-56.7235,62.98,63,61,9.53,AR,1712014743
116,kodiak,57.79,-152.4072,35.11,55,100,18.41,US,1712014280
117,copiapo,-27.3667,-70.3333,60.49,61,0,2.73,CL,1712014984
118,karratha,-20.7377,116.8463,88.03,32,1,19.3,AU,1712014985
119,chingirlau,51.095,54.0814,45.3,84,63,5.93,KZ,1712014985
120,maricopa,33.0581,-112.0476,66.42,55,40,5.75,US,1712014742
121,i-n-salah,27.1935,2.4607,77.34,13,2,9.24,DZ,1712014986
122,constantia,44.1833,28.65,61.7,71,41,9.8,RO,1712014801
123,madimba,-10.4,40.3333,76.41,92,89,7.78,TZ,1712014987
124,utrik,11.2278,169.8474,81.09,70,100,14.54,MH,1712014407
125,newman,37.3138,-121.0208,71.83,45,0,7.0,US,1712014460
126,tarawa,1.419,172.984,87.89,74,20,6.91,KI,1712014988
127,russellville,35.2784,-93.1338,76.98,71,100,4.61,US,1712014737
128,mil'kovo,55.6078,37.7956,55.8,71,65,7.92,RU,1712014989
129,santa marta,11.2408,-74.199,87.85,58,20,20.71,CO,1712014707
130,grand falls-windsor,48.9332,-55.6649,36.5,86,100,1.01,CA,1712014221
131,callao,-12.0667,-77.15,75.49,69,0,14.97,PE,1712014115
132,anamur,36.0751,32.8369,69.64,57,0,4.92,TR,1712014991
133,kasane,-17.8167,25.15,73.13,55,100,4.81,BW,1712014991
134,ta`u,-14.2336,-169.5144,84.74,74,77,22.59,AS,1712014991
135,ilheus,-14.7889,-39.0494,82.22,83,40,3.44,BR,1712014862
136,vernon,50.2581,-119.2691,68.36,33,61,5.01,CA,1712014422
137,san antonio de pale,-1.4014,5.6325,83.98,82,93,12.17,GQ,1712014405
138,iskateley,67.6803,53.1512,15.03,87,100,11.01,RU,1712014376
139,laguna,38.421,-121.4238,73.69,29,0,9.22,US,1712014993
140,morrope,-6.5417,-80.0111,75.31,74,92,13.0,PE,1712014994
141,carnarvon,-24.8667,113.6333,84.13,41,22,18.1,AU,1712014456
142,tofol,5.3248,163.0078,83.98,79,100,16.11,FM,1712014994
143,gamba,-2.65,10.0,80.19,88,89,4.81,GA,1712014995
144,inhambane,-23.865,35.3833,74.97,86,80,8.12,MZ,1712014444
145,jamestown,42.097,-79.2353,51.53,57,0,11.5,US,1712014411
146,ust'-ilimsk,58.0006,102.6619,6.44,99,83,4.0,RU,1712014996
147,eastham,41.8301,-69.9739,46.38,83,100,4.61,US,1712014749
148,albu kamal,34.45,40.9186,70.61,40,67,3.22,SY,1712014997
149,gulnar,36.3415,33.3992,60.31,46,0,4.45,TR,1712014997
150,mutuali,-14.8706,37.0044,67.06,88,100,3.29,MZ,1712014998
151,anadyr,64.75,177.4833,3.7,71,40,11.18,RU,1712014803
152,mocimboa,-11.3167,40.35,75.92,92,85,6.53,MZ,1712014998
153,weno,7.4515,151.8468,85.95,84,75,10.36,FM,1712014844
154,flying fish cove,-10.4217,105.6791,78.48,88,75,6.91,CX,1712014999
155,la concordia,13.1953,-86.1667,85.51,36,1,7.31,NI,1712015000
156,alice springs,-23.7,133.8833,72.21,42,75,9.22,AU,1712014198
157,saldanha,-33.0117,17.9442,57.25,90,39,8.03,ZA,1712015000
158,bayanhongor,46.7167,100.1167,24.73,37,97,3.2,MN,1712014777
159,berezovyy,51.6667,135.7,33.44,57,19,3.22,RU,1712015001
160,quellon,-43.1167,-73.6167,48.6,79,94,6.38,CL,1712014816
161,hays,30.0502,-98.0336,82.24,78,96,5.99,US,1712014831
162,namibe,-15.1961,12.1522,74.88,82,61,2.17,AO,1712015002
163,bay point,38.0291,-121.9616,74.77,32,0,3.0,US,1712015003
164,kailua-kona,19.6406,-155.9956,78.76,83,75,6.91,US,1712014850
165,coahuayana de hidalgo,18.7,-103.6583,80.83,60,71,6.06,MX,1712015004
166,avarua,-21.2078,-159.775,84.25,70,75,9.22,CK,1712014421
167,bakchar,57.0186,82.0711,33.08,98,100,8.39,RU,1712015005
168,talnakh,69.4865,88.3972,4.57,96,100,14.56,RU,1712014767
169,sao joao da barra,-21.6403,-41.0511,75.29,84,48,4.65,BR,1712014810
170,uyar,55.81,94.3153,20.05,91,97,3.15,RU,1712015006
171,gaigeturi,33.4644,126.3183,59.05,77,0,8.05,KR,1712014828
172,port saint john's,-31.6229,29.5448,71.33,91,100,8.81,ZA,1712014420
173,shenjiamen,29.9576,122.298,57.61,99,100,17.76,CN,1712015008
174,seeb,23.6703,58.1891,75.29,35,0,0.0,OM,1712015008
175,tsetserleg,47.475,101.4542,28.71,42,99,1.61,MN,1712015008
176,chabahar,25.2919,60.643,75.6,74,97,11.03,IR,1712015009
177,nguigmi,14.2495,13.1092,85.78,19,100,6.24,NE,1712015009
178,domerat,46.3606,2.5343,43.27,92,81,5.99,FR,1712015010
179,dalmatovo,56.26,62.9362,31.42,89,72,6.06,RU,1712015010
180,kolonia,50.9333,6.95,49.96,84,0,9.22,DE,1712014993
181,taltal,-25.4,-70.4833,67.44,81,24,3.76,CL,1712014820
182,anloga,5.7947,0.8973,83.75,82,100,7.61,GH,1712014847
